composition,a,b,c,d,e
thickness,0.0625,0.0625,0.0625,0.0625,0.0625
m,1.4,1.4,1.4,1.4,1.4
y,1885,2320,2320,1595,1595
max_pressure,1235,1235,1235,1235,1235
