norminal diameter,M5,M6,M7,M8,M10,M12,M14,M16,M18,M20,M22,M24,M27
ndiameter,5,6,7,8,10,12,14,16,18,20,22,24,27
pitch diameter,0.8,1,1,1.25,1.5,1.75,2,2,2.5,2.5,2.5,3,3
minor diameter,4.02,4.77,5.77,6.47,8.16,9.85,11.6,13.6,14.9,16.9,18.9,20.3,23.3
stress area,14.2,20.1,28.9,36.6,58,84.3,115,157,192,245,303,353,459
