props,p1,p2,p3,p4,p5,p6,p7,p8,p9
H/W,0.05,0.67,1,1.5,2,2.5,3,3.5,4
alpha,0.11,0.16,0.2,0.28,0.32,0.35,0.36,0.37,0.37
beta,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.07,0.07
